序号,名字,拍摄距离,经度,纬度,高度,滚转角,俯仰角,偏航角,向北速度,向东速度,垂直速度,横滚角,俯仰角,偏航角,创建时间
1,DSC05904.JPG,9.17500019,30.6294136,114.41774,9.89999962,-1,1,39,-1,0,8,0,0,0,2019:04:03 10:35:03
2,DSC05905.JPG,8.97999954,30.6294117,114.41774,10.3000002,-2,-4,40,-1,-3,0,0,0,0,2019:04:03 10:35:04
3,DSC05906.JPG,8.51000023,30.6294117,114.417755,10.5,-2,-1,40,1,0,4,-1,0,0,2019:04:03 10:35:06
4,DSC05907.JPG,7.9460001,30.6294174,114.417755,10.8000002,-1,0,40,0,0,1,0,0,0,2019:04:03 10:35:08
5,DSC05908.JPG,7.69500017,30.6294174,114.41774,11.1000004,0,-3,40,-4,0,0,0,0,0,2019:04:03 10:35:09
6,DSC05909.JPG,7.33500004,30.6294174,114.417755,11.1999998,-3,0,40,0,3,0,0,0,0,2019:04:03 10:35:11
7,DSC05910.JPG,6.71400023,30.629427,114.417755,12,0,0,40,-1,0,2,0,0,0,2019:04:03 10:35:13
8,DSC05911.JPG,6.37699986,30.629427,114.417755,12.6999998,-4,0,39,-1,3,0,0,0,0,2019:04:03 10:35:14
9,DSC05912.JPG,6.11600018,30.6294403,114.41774,13.3000002,0,-4,41,-1,0,0,0,0,0,2019:04:03 10:35:16
10,DSC05913.JPG,5.25299978,30.6294365,114.417755,13.8000002,0,1,41,-1,4,6,0,0,0,2019:04:03 10:35:18
11,DSC05914.JPG,4.9380002,30.6294365,114.417755,14.5,0,-1,42,3,-2,0,0,0,0,2019:04:03 10:35:20
12,DSC05915.JPG,4.82399988,30.6294327,114.417755,14.6999998,0,-5,42,-3,5,0,-1,0,0,2019:04:03 10:35:21
13,DSC05916.JPG,4.76100016,30.6294308,114.417755,15,-2,-2,41,0,-1,0,0,0,0,2019:04:03 10:35:23
14,DSC05917.JPG,4.73500013,30.6294327,114.41774,15.1000004,0,-1,42,-3,-2,0,0,0,0,2019:04:03 10:35:25
15,DSC05918.JPG,4.66200018,30.6294308,114.41774,15.3999996,-2,-2,41,0,0,0,-1,0,0,2019:04:03 10:35:26
16,DSC05919.JPG,4.6079998,30.6294231,114.41774,15.5,0,0,42,-1,0,0,0,0,0,2019:04:03 10:35:28
17,DSC05920.JPG,4.58599997,30.6294117,114.41774,15.6999998,-3,-3,42,0,3,0,0,0,0,2019:04:03 10:35:30
18,DSC05921.JPG,4.56400013,30.6294212,114.41774,15.8000002,0,0,41,1,-2,0,0,0,0,2019:04:03 10:35:31
19,DSC05922.JPG,4.51200008,30.6294231,114.417725,15.8000002,0,-3,42,-1,1,0,0,0,0,2019:04:03 10:35:33
20,DSC05923.JPG,4.51200008,30.6294174,114.417725,15.8999996,0,-4,43,-2,0,0,0,0,0,2019:04:03 10:35:35
21,DSC05924.JPG,4.54400015,30.6294117,114.417725,16,-2,-2,43,0,1,0,0,0,0,2019:04:03 10:35:37
22,DSC05925.JPG,4.59899998,30.6294117,114.417717,16.1000004,0,-4,43,1,2,0,0,0,0,2019:04:03 10:35:38
23,DSC05926.JPG,4.68400002,30.6294117,114.417725,16.1000004,-3,-1,41,0,3,0,-1,0,0,2019:04:03 10:35:40
24,DSC05927.JPG,4.78299999,30.6294136,114.417717,16.1000004,0,-5,42,0,-1,0,0,0,0,2019:04:03 10:35:42
25,DSC05928.JPG,4.87900019,30.6294079,114.417717,15.8999996,0,-1,42,-1,1,0,0,0,0,2019:04:03 10:35:43
26,DSC05929.JPG,4.85599995,30.6294041,114.417725,15.8999996,0,-2,42,0,1,0,0,0,0,2019:04:03 10:35:45
27,DSC05930.JPG,4.86299992,30.6294041,114.417725,15.8000002,0,-4,42,0,5,0,0,0,0,2019:04:03 10:35:47
28,DSC05931.JPG,4.82200003,30.6294079,114.41774,15.8999996,0,-1,42,1,-1,0,-1,0,0,2019:04:03 10:35:48
29,DSC05932.JPG,4.78900003,30.6294079,114.41774,15.8999996,-1,-5,42,1,1,0,0,0,0,2019:04:03 10:35:50
30,DSC05933.JPG,4.76900005,30.6294117,114.417755,15.8999996,0,0,41,2,2,0,0,0,0,2019:04:03 10:35:52
31,DSC05934.JPG,4.78399992,30.6294117,114.417755,15.8999996,0,-4,42,-1,3,0,-1,0,0,2019:04:03 10:35:54
32,DSC05935.JPG,4.70699978,30.6294041,114.417763,16,0,-6,42,1,1,0,0,0,0,2019:04:03 10:35:55
33,DSC05936.JPG,4.72700024,30.6294022,114.417763,16.1000004,-3,-3,42,1,5,0,0,0,0,2019:04:03 10:35:57
34,DSC05937.JPG,7.32499981,30.6294022,114.417763,16,0,-3,41,3,0,0,-1,0,0,2019:04:03 10:35:59
35,DSC05938.JPG,7.55299997,30.6293983,114.417763,16,0,-5,41,1,3,0,0,0,0,2019:04:03 10:36:00
36,DSC05939.JPG,7.83500004,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:02
37,DSC05940.JPG,8.16100025,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:04
38,DSC05941.JPG,8.29599953,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:05
39,DSC05942.JPG,8.38500023,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:07
40,DSC05943.JPG,8.52200031,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:09
41,DSC05944.JPG,8.76000023,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:11
42,DSC05945.JPG,9.13399982,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:12
43,DSC05946.JPG,9.48799992,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:14
44,DSC05947.JPG,9.67300034,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:16
45,DSC05948.JPG,9.78600025,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:17
46,DSC05949.JPG,7.08400011,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:19
47,DSC05950.JPG,7.08900023,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:21
48,DSC05951.JPG,7.11800003,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:23
49,DSC05952.JPG,7.09399986,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:24
50,DSC05953.JPG,7.0170002,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:26
51,DSC05954.JPG,6.81400013,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:28
52,DSC05955.JPG,6.671,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:29
53,DSC05956.JPG,6.60900021,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:31
54,DSC05957.JPG,6.51499987,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:33
55,DSC05958.JPG,9.0710001,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:34
56,DSC05959.JPG,9.2130003,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:36
57,DSC05960.JPG,9.32900047,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:38
58,DSC05961.JPG,9.61400032,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:40
59,DSC05962.JPG,10.0010004,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:41
60,DSC05963.JPG,10.3620005,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:43
61,DSC05964.JPG,10.5670004,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:45
62,DSC05965.JPG,10.7189999,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:46
63,DSC05966.JPG,10.9160004,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:48
64,DSC05967.JPG,8.27000046,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:50
65,DSC05968.JPG,8.43299961,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:51
66,DSC05969.JPG,8.59300041,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:53
67,DSC05970.JPG,11.0360003,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:55
68,DSC05971.JPG,11.1639996,30.6294022,114.417778,16.1000004,-4,-2,41,3,0,0,0,0,0,2019:04:03 10:36:57
